account_id,account_name,region,pub_time,ip_address,type,machine,behavior_type,behavior_period_time,behavior_log,money_size,sign_up_time,label
ACC_00001,林雪,北京,2026-06-02T08:15:00,10.22.1.6,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",work_message,240,在通勤时查看工作群消息和邮件,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T12:20:15,10.22.1.6,transaction,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",online_shopping,180,午休时购买办公用品和零食,456,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T18:40:25,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",local_life,150,下班后使用家庭网络浏览生活服务,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T19:25:40,192.168.3.112,login,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",normal_login,10,晚间正常登录，准备进行家庭活动,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T20:30:10,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",drama_streaming,2400,家庭环境下持续观看电视剧集,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T21:45:00,192.168.3.112,comment,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",social_interaction,90,在家庭群聊中分享生活动态并互动,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T22:30:35,192.168.3.112,transaction,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",utility_payment,50,在线支付燃气费，金额正常,120,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T23:05:00,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",app_exit,5,结束晚间活动，准备休息,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T07:48:00,10.22.1.5,login,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",app_start_login,9,周三早高峰，登录模式稳定,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T10:15:30,10.22.1.5,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",work_tool,360,在工作时间内使用在线文档协作工具,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T12:40:45,10.22.1.5,transaction,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",online_shopping,150,午休时为家人选购礼物,520,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T18:25:10,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",local_life,200,浏览周末家庭出行计划相关本地服务,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T19:10:20,192.168.3.112,login,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",normal_login,11,晚间登录，准备家庭娱乐,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T19:50:00,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",drama_streaming,3000,长时间观看新上架的综艺节目,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T22:00:30,192.168.3.112,comment,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",social_interaction,180,在家庭群中讨论周末安排并发送图片,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T22:45:10,192.168.3.112,transaction,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",utility_payment,70,支付本月家庭网络服务费,180,2025-08-22,0
ACC_00001,林雪,北京,2026-06-03T23:10:00,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",app_exit,5,结束周三活动，登录退出,0,2025-08-22,0
ACC_00002,李思雨,上海,2026-06-01T07:15:00,192.168.1.105,login,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",normal_login,12,用户于家中使用主设备正常登录，为早晨通勤准备,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-01T07:45:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",news_browsing,840,用户在通勤地铁上浏览新闻资讯,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-01T09:05:00,10.10.22.41,login,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",work_system_login,8,用户抵达公司，登录内部办公系统,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-01T12:45:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",shopping_app_browse,600,用户午休时间浏览购物应用，进行短时浏览,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-01T13:00:00,10.10.22.41,transaction,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",online_purchase,45,用户午休时在购物平台购买日用品,186.5,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-01T18:30:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",video_platform_browse,1800,用户下班前浏览视频平台，观看短视频放松,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-01T19:15:00,192.168.1.105,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",social_media_browse,1200,用户到家后在家庭网络下浏览社交媒体,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-01T21:30:00,192.168.1.105,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",video_streaming,3600,用户晚间使用视频应用观看电视剧集,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T07:20:00,192.168.1.105,login,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",normal_login,10,用户早晨在家中登录设备,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T07:50:00,10.10.22.41,search,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",commute_entertainment_search,300,用户在通勤路上搜索并播放音频节目,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T09:10:00,10.10.22.41,login,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",work_system_login,9,用户抵达公司后登录工作系统,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T12:50:00,10.10.22.41,transaction,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",takeout_order,120,用户午休时通过外卖平台订购午餐,42.0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T13:10:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",social_app_browse,900,用户餐后短暂浏览社交应用,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T18:20:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",shopping_app_browse,900,用户下班前在购物应用比价,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T19:00:00,192.168.1.105,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",life_service_browse,600,用户到家后浏览本地生活服务信息,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-02T21:00:00,192.168.1.105,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",video_streaming,3000,用户晚间进行视频娱乐,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T07:18:00,192.168.1.105,login,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",normal_login,11,用户早晨正常登录,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T07:55:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",news_browsing,720,用户在通勤路上浏览早间新闻,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T09:00:00,10.10.22.41,login,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",work_system_login,7,用户开始一天的工作登录,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T12:40:00,10.10.22.41,search,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",product_search,180,用户午休时搜索特定商品信息,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T12:55:00,10.10.22.41,transaction,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",online_purchase,60,用户根据搜索结果下单购买书籍,78.0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T13:20:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",news_browsing,480,用户利用剩余午休时间阅读深度报道,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T18:25:00,10.10.22.41,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",video_platform_browse,1500,用户下班前在视频平台观看影视剪辑,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T19:30:00,192.168.1.105,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",social_media_browse,900,用户到家后刷新社交媒体动态,0,2025-07-16,0
ACC_00002,李思雨,上海,2026-06-03T21:15:00,192.168.1.105,browse,"华为Mate60 Pro+, HarmonyOS 4.0, 华为浏览器 14.0.2.300",video_streaming,3300,用户晚间观看综艺节目,0,2025-07-16,0
